iter	Logloss
0	0.6875566006
1	0.6834227562
2	0.6765148163
3	0.671297121
4	0.6666425228
5	0.6608460426
6	0.6552498817
7	0.6463960171
8	0.6411602974
9	0.6376382828
10	0.6342536926
11	0.6309764862
12	0.6255589485
13	0.6211910248
14	0.6166798115
15	0.612952137
16	0.6096049309
17	0.6072856426
18	0.60302701
19	0.5998182297
20	0.5956776619
21	0.5931675911
22	0.5884540081
23	0.5848480701
24	0.582310009
25	0.5796368122
26	0.5765573502
27	0.5728533268
28	0.5694350719
29	0.5659776211
30	0.5622056007
31	0.5585400581
32	0.5555444717
33	0.5520269394
34	0.5490756989
35	0.5466514587
36	0.5435863495
37	0.5395552635
38	0.5367464066
39	0.5342543602
40	0.5309025764
41	0.528343153
42	0.5256662369
43	0.5228278637
44	0.5202724457
45	0.5168401718
46	0.5127601624
47	0.5096445084
48	0.5067831993
49	0.5045613289
